page_number,essay
26,"Piano Man plays on repeat in Used To Be’s Island Eatery, a high-volume bar and 
restaurant in the town of [Location] on the Jersey shore. Balding men and blonde 
women sway to the song as they sit on the wooden barstools, chatting and laughing 
about their lives. 
From my hostess stand I can see it all. To my left is the restaurant portion of the 
building. It is dimly lit but there is enough light to see the customers’ expressions, from 
the time I seat them until their plates have been cleared. It’s fascinating to watch how 
much people change from the time they approach me at the stand, hungry and 
impatient, to when they are smiling and telling me to have a good night, plucking a mint 
from the silver bowl as they leave. 
I’ve learned that the demeanors of the staff shape the mood of the restaurant. When the 
waitresses have come from the beach and have plans with their friends later that night, 
there is a sense of calmness and ease among the staff and the customers. On the other 
hand, when one waitress trudges in fifteen minutes late on a rainy afternoon and recites 
her endless list of the day’s unfortunate experiences, the entire mood drops. I’ve 
discovered that restaurants are all about putting on a happy face, even if you’re secretly 
envisioning hurling a rude customer's plate across the restaurant like a frisbee and 
watching ravioli spray across the room. 
My dad has always told me to be positive, but I never really understood how truly 
meaningful that was until I started working as a host. I’ve learned that positivity and 
friendliness are crucial to making any situation more enjoyable, and especially in 
making stressful ones more bearable. So, even if I have eighteen reservations and a 
dozen takeout orders to handle, I plant a smile on my face and ask the elderly couple 
that walks in the door how they are doing. What I’ve discovered is that when they smile 
back at me and ask me about myself, it brightens my mood, and I end up having a 
simple and sweet conversation with complete strangers. Their kindness is uplifting, and 
I love hearing about a couple’s recent vacation, or talking and laughing with the father of 
a baby who just tried to eat a lemon. 
I was anxious about starting my first job. However, I quickly found that hosting not only 
suited my strengths, but also taught me more about myself and how others behave in 
stressful environments. Hosting requires perception, observation and organization, 
qualities that play to my strengths. While the waitresses are distracted taking orders or 
bringing food, I’m the one who watches over the entire restaurant, making sure that 
tables are cleaned and little kids have paper and crayons. On the other hand, this job 
also taught me that sometimes I need to keep my mouth shut and deal with issues on 
my own, even if it means defusing an uncomfortable conversation with a customer who 
has had too much to drink. This response is generally counterintuitive to what I’ve been 
taught in school, which is to speak up and seek help from peers or teachers. In this 
business, one is often told to “figure it out yourself” or “just fix it”. Initially this was 
challenging, but I soon discovered that it taught me to have faith in myself and be more 
independent. 
I absolutely loved this job. I discovered how much I enjoy working with and learning 
from other people. Hosting taught me the value of being totally engaged and fully 
present, which allowed me to commit myself to the people and environment around me. 
This job took me out of my comfort zone, but I have no doubt that what I learned will 
help me in every stage of my life, including when I go back next summer."
27,"The initial sound of a distant ambulance didn’t cause my grandmother any worry as she 
relaxed and looked out over Eagle Lake in Acadia State Park. She only started to take notice 
when the third ambulance urgently made its way into the mountains behind them, causing 
her and her best friend to sit up from their beach chairs. They had been enjoying the 
afternoon on the beach while my grandfather and his best friend had gone hiking on the 
popular yet daunting Beehive Loop Trail. Both men were in excellent shape and often 
found themselves hiking alongside one another. 
My grandmother’s concern faded rather quickly as sirens fell distant and time passed. 
After about 30 minutes, my grandfather’s friend ran toward the beach. My grandfather was 
not next to him. He was not there at all. At that moment, my grandma knew. 
“Burt...he was with me...he slipped...he fell...I ran down the side of the mountain, off the 
trail, but I couldn’t find him. The park rangers are looking...” She stopped listening. She 
could see his lips moving, yet she heard nothing. 
My grandfather died that day. As he was only about 5 minutes from the top of the 
mountain, he lost his balance on a particularly difficult section of the trail and fell over 100 
feet. A freak accident. One that could never have been imagined or anticipated. A horrific 
event which brutalized a man and a family which had been nothing but good to the world. 
I never knew my grandfather. He died only 80 days before I was born. But I know the man 
he was. I know him well. I know that he was a school psychologist, a life he chose so that he 
could help children who could not help themselves. I know he spent countless hours in the 
garden so that he could give my grandmother flowers every morning. I know that he spent 
years with a young boy, the son of a drug addicted mother, taking him to baseball games, 
bringing him home to dinner, and simply teaching him how to live, despite the poor hand 
this boy had been dealt. 
Most importantly, I know that I did not get to know a man that would have made my life 
better in every way. I never got to go to baseball games with him. He never was able to 
cheer for me on the soccer field or basketball court. I know that this great man certainly 
should have been able to live well past 57, yet he was given an abrupt end. An end that he 
deserved less than anyone in the world became his reality. 
This story has made me question what so many people around me believe is an undeniable 
truth. Is God real? 
I was not raised with religion in my life, despite living in a primarily Christian area. When 
my friends went to church on Sunday, I watched the Wiggles. I went to many First 
Communions, cheering on my peers without knowing what I was really celebrating. I have 
listened to countless prayers and promises made to Jesus, while I sat awkwardly alongside. 
Sometimes I would feel jealous that I did not have God to look after me, despite not 
knowing what God was. I never believed or didn’t believe in God, I just never knew. 
The story of my Grandfather’s death is what sparked my curiosity in this matter. I’ve 
always wondered why people believe in God, or what has proven to them the reality of 
God. I’ve asked myself questions like, “Why, if God is all-powerful, would he end a great 
man like my grandfather’s life?” “Why wouldn’t he cause this pain to a murderer or rapist?” 
My questions are still unanswered, and I’m not educated enough at this point to determine 
an answer for myself. Maybe as I grow and learn, I can find an answer."
28,"""If I'll have to be around the old people, I'm not working there. I just don't feel comfortable 
around them. I mean, I can't even understand what they're saying half the time!"" 
Dismissively, I rejected my father's nagging proposal that I apply for a summer job at a local 
long-term care center, arguing that I'd lose my patience much too quickly in attempting to 
interact with elderly residents. However, with my father being, well, my father, I reluctantly filled 
out a job application, reluctantly attended an interview, and, 5 days later, reluctantly commuted 
to an orientation for my position as a 'resident partner'. Although I initially viewed the job as a 
prison sentence which I had been condemned to serve for 8 hours per day, the care center 
would eventually come to serve as a clarion call, challenging each and every preconceived 
notion I held in regards to a globally misunderstood population, and by extension facilitate the 
development of a more socially conscious personal character. 
From the moment I stepped foot in the care center that would soon become a home-away-from-
home for the length of my summer, the entirety of my perspective concerning senior citizens 
was entirely turned upon its head. These elderly persons were nothing near the stereotypical 
portrayals of the generational group which I had taken at face value and had accepted to be 
unalterably true; these individuals appeared to be exactly that: individuals. These individuals 
laughed as if no-one were watching, grinning from ear to ear. These individuals wore 
expressions of abandonment, fighting against tears of sorrow. These individuals engaged in 
enthusiastic conversation with acquaintances, recounting the latest achievement of a 
granddaughter. These individuals engaged in solitary introspection, attempting (albeit 
unsuccessfully) to piece together distant memories of a late wife. Where I had inserted my 
simplistic view of senior citizens as a static monolith, these individuals showcased a mosaic of 
human emotion, destroying the ideological box I had structured around their collective identity. 
Nonetheless, while the past notions which I had nurtured were quickly deprived of their vitality 
as a direct consequence of the myriad behaviors exhibited by the care center's residents, I 
developed a more comprehensive and impactful understanding of the elderly population through 
my interactions with residents suffering from neural afflictions, namely a frail, endearing woman 
named Constance. 
Resultant of the frequency with which Constance and her wheelchair seemed to bump into me, 
it happened that a friendship blossomed between she and I. Revealing to me one afternoon that 
she had endured a stroke decades ago, Constance passively lamented the implications of such 
an experience, among which existed a speech impediment compromising the ease with which 
she could engage in conversation. For some odd reason or another, this confession served as a 
catalyst, utterly decimating any remnant of my elementary view in regards to this social 
demographic. Perhaps owing to the intimate nature of such a statement, or perhaps owing to 
the period of introspection such a statement encouraged within me, Constance's words 
facilitated a realization of the depth of the innumerably varied experiences undergone by senior 
citizens. Not only did Constance demonstrate to me the dynamic, rounded character of elderly 
individuals; Constance unwittingly offered me a glimpse into the unfortunate reality that neural 
diseases are deeply misunderstood, resulting in the reduction of afflicted persons to the 
definition and symptoms of their disease. 
Armed with a newfound awareness of the subtle dehumanization suffered by those found in 
circumstances mirroring Constance's, my interest in the function and coordination of the brain 
and its activity was magnified. Moreover, my tentative decision to pursue a career in 
neurology—in order to reduce the marginalization of elderly individuals by means of amplifying 
general knowledge concerning neurological diseases—was solidified. 
Regardless of whether this aspiration comes to pass, or I head down a different path, it will 
remain true that I left my summer job with so much more than a paycheck."
29,"Seatbelt on. Mirrors adjusted. Key in the ignition. I am ready to roll. I am sitting in the 
parking lot of a DMV with a small Hispanic lady with overly drawn-on eyebrows in the 
passenger seat. In her hands, she holds a beige clipboard and a pen that looks as 
though it has been half-eaten by some underfed pomeranian. Oh wait, it’s not the 
pomeranian, it’s her. She is now gnawing on her pen. Oh gosh, Emily don’t focus on 
that; focus on how you’re going to pull out of this parking lot. I am panting heavily. All of 
the sweat that was once flowing from my body is now on the steering wheel. 
Breath, Emily, breath. I drive to the exit and face a four-lane roadway. “Turn left,” my 
passenger says. 
“Okay,” I mutter back. I can do this. I can totally do this. I am Emily [Name] for goodness 
sake. The Emily [Name] who is president of student council, Failure is not in my 
vocabulary; it never has been, and it never will be. I proceed in driving. “Stop!” Oh no. I 
look to my right to see the examiner grip the ceiling handle with all her might; her eyes 
simulate the expression her penciled-on eyebrows were portraying all along. I am in the 
middle of the roadway; cars are heading towards me in all directions. At that moment, I 
know I failed. 
March 25, [Date], is a day that will live in infamy. The day I experienced 
failure. Unaccepting of my loss, I blamed my driving incompetence on my mother’s 
Chrysler minivan, which had what I liked to call “touchy brakes.” My father was good at 
agreeing with me, adding on with “it’s too foggy out” and “maybe you’re wearing the 
wrong shoes.” Assigning responsibility for my ineptitude to a pair of sneakers was far 
easier than admitting that I just wasn’t good at driving. So, with my ego still at large, I 
decided to take the driver’s test again the following weekend. 
April 1, [Date], is another day that will live in infamy. The day I experienced failure for 
the second time. I failed my road test again, but not for the same reason as before. This 
time I actually made it out of the parking lot. However, I did in fact run over a curb and 
blow a stop sign. I didn’t receive as much sympathy as I did for my earlier attempt. It 
wasn’t the car nor the shoes this time. It was me. I failed my driver’s test all on my own. 
Now, any normal, rational human being would probably call this “not a big deal,” but to 
my high-strung sixteen-year old-self, it was a big deal. How could I have failed 
something that ninety percent of my class mastered on their first try? 
My entire life, I had been accustomed to excelling in whatever I did. Whether it was in 
school work or extracurriculars, my life ran on a simple input-output system. I would put 
the hard work in and out would come immediate success. 
On July 29, [Date], I finally got my license. After the April debacle, I practiced driving 
almost every week. I learned to stop at stop signs and look both ways before crossing 
streets, the things I apparently didn’t know how to do during my first two tests. When 
pulling into the parking lot with the examiner for the last time, a wave of relief washed 
over me. 
“Third time’s the charm,” the lazy-eyed instructor told me. I was ecstatic! For the first 
time in my life, I was licensed in driving as well as licensed in resilience. My experiences 
at the DMV taught me that failure is inevitable and essential to moving forward. As I 
peer down the long road ahead, I am no longer afraid to conquer any bump in my path."
30,"When I first started seriously thinking about college during sophomore year, I didn’t want 
to go anywhere outside of Ohio. I thought I would be too far away from home. But the more 
mail I received from different colleges, the more I realized that some of my best 
opportunities were going to come from outside of my comfort zone, from outside of 
Ohio. One pamphlet from the University of Pennsylvania in particular caught my eye, and 
although I was a bit skeptical at first, as I did my research I realized that the University of 
Pennsylvania is a top tier university that holds many unique opportunities for its students. 
One of the first things I noticed when I began to research Penn was their emphasis on 
interdisciplinary studies. This appealed to me because I have never been interested in only 
one subject. The fact that a third of my classes would be taken outside of the Wharton 
School tells me that I will be able to explore a variety of classes in virtually any subject. For 
example, although I do not want to major in it, I have always been interested in computer 
coding. Hopefully I will able able to take some introductory level computer programming 
or coding classes at Penn even though it is not directly related to finance, my potential 
concentration. I am also excited about the availability of foreign languages at the University 
of Pennsylvania. I started learning French in eighth grade, and since my school only offers 
four years of French, I wasn’t able to take it my senior year, and I really miss it. I also 
started learning Portuguese during high school because I want to travel to Brazil one day. I 
want to continue learning both of these languages at the University of Pennsylvania. I am 
very excited about the opportunities that the emphasis on interdisciplinary studies will 
give me at Penn. 
Another aspect of Penn that I found fascinating was their different programs regarding 
political science. At one point, I wanted to major in political science. But when I took an 
Introduction to Global Politics class at the Ohio State University during the summer before 
my senior year, I didn’t know if I could honestly see myself studying that for four 
years. However, during my time researching political science at Penn, I found out about an 
amazing program that I could participate in: Penn in Washington. Political science is 
currently my second choice major, and if I decide that’s what I want to major in, it would be 
with a concentration in American Politics, so the Penn in Washington program would be 
perfect for me to find an internship and learn about how the different parts of government 
work together in the heart of America’s government. However, if I choose not to major in 
political science, I would still be interested in the American Public Policy minor, which is 
offered through the political science department in the College of Arts and Sciences and the 
Wharton School, which is where I will possibly be pursuing a degree in finance. Penn seems 
to match perfectly with what I want to study in college. I am really excited for the 
opportunities that the University of Pennsylvania will give me. From the interdisciplinary 
studies to the foreign languages and political science programs, I will have plenty of 
chances to explore my diverse interests here at the University of Pennsylvania."
31,"I express my creative side by playing the violin and other musical instruments. Ever 
since I was a younger child, music had always been a part of my life. The first 
instrument I remember playing is the piano when I was four years old. My school had a 
music program, so I went and learned how to read music and play the Recorder. 
Though it was a simple instrument, it was to prepare us students for the more complex 
instruments that we could choose to play after completing the Recorder lessons. 
I took this class all of first grade, and in second grade I was ready to choose the 
instrument I wanted to specialize in. I chose the Violin, and now -ten years later- I am 
still playing it. Throughout the years I have learned to play other instruments as well, 
such as the Piano, Trumpet, Viola, and more. During that time I have also been able to 
play those instruments in different styles of music. 
From second to seventh grade, I played the Violin and sung in my elementary school 
district's Mariachi and my middle school's Mariachi even when I did not know how to 
speak Spanish. I have been playing the Violin at my church's choir almost every Sunday 
since Seventh grade. I played the Violin and Viola in my high school's Orchestra class 
in Freshman and Sophomore year, and since my Junior year I have played the trumpet 
in my school's Jazz Band and Trumpet Choir. 
My siblings have also been inspired to be creative musically, and together we perform 
at our church and other places, and music has become an important part in their lives 
as well. 
Throughout my life I have been able to express my love for music in many different 
ways. Whether through playing with a group, doing a solo in front of an audience, 
composing my own music, or teaching my younger siblings how to read and play music 
the way I was taught many years ago, music has always been a large way that I could 
express my creative side."
32,"Stepping inside the converted railway station, I am transported to another world. Amidst 
gorgeous Beaux-Arts architecture, statues pose on pedestals, and thousands of 
paintings line the adjacent rooms. The Musée d’Orsay is one of the most magical 
museums on Earth. I am immediately drawn to the impressionist exhibits to explore the 
land of Degas and Monet. Dancers stand in rehearsal. Water lilies bask in a pond. The 
sun sets on Notre Dame. The Little Dancer sculpture I have always dreamed of seeing 
stands in its glass case. I am overwhelmed with beauty, moments in time painted into 
immortality and hung up on the wall. Close enough to marvel at the brush strokes taken 
by the artists who painted my favorite famous works of art in existence, I am seeing 
dreams that have come to fruition, paintings that have impacted the world with their 
presence. 
A naturalistic observation at an art museum may not sound like it would be effective, but 
art museums are the best place to observe and learn about a person. My exploration of 
one gives insight into my aptitude for working in the medical field. 
Some people cannot stand art museums. They find no value in looking at pictures on a 
wall for hours and trying to interpret their meaning. These people prefer more concrete 
ideas in life rather than the abstract and do not enjoy the unknown or the unsolved. 
Others go to say that they went. They simply take a picture with the most famous work 
in the museum and call it a day. Some are lucky enough to appreciate the art’s 
meaning, but many of these people are most concerned with their appearance and 
others' opinions on it. Finally, some spend hours absorbing the stories, culture, and 
beauty that hang on the walls. 
I take time interpreting new ideas and perspectives and appreciating the history that lies 
before me. This reflects my open-mindedness, my thirst for knowledge, and simply my 
appreciation for art. I am proud to call myself one of the creatives of the world: an 
imaginative, curious soul. 
If people were to watch me experience the art museum, they would see me pass half of 
the exhibits to get to the ones I am truly enamored by, where I can feel my heart beating 
out of my chest and the gears of my brain going into overload to take in all of the history 
and frozen moments in time that surround me. I carefully examine and stop to ponder at 
the works that truly strike me, and simply take a glance at others. If they were to attempt 
to create a summary of me based on their observations, I am sure they would be 
perplexed. 
I always gravitate towards what matters most to me, the impressionist exhibits of life: 
my passions, the people I love, and discovering new things at every chance I get. I live 
to collect moments, just as the moments in paintings hang on the wall for everyone to 
see for themself. I enjoy when topics are up for interpretation but find comfort in 
knowing the fundamentals and studying what is already known. Above all, I want to help 
others and bring smiles to their faces. I would love to see my impact on the world 
through the happiness of those I touch around me. This is why pursuing medicine is the 
perfect future for me. 
Like solving a puzzle from the inside-out to give patients a fresh canvas, it is a scientific 
art. I want to carry my love for art into my practice of medicine, to find creative ways to 
interpret issues that most would say are unsolvable. My painting, my impact on the 
world, will be creating those blank canvases for others to continue to paint on, working 
to give others their own chance to walk through the art museum we call life."
33,"Though I’m a biochem nerd first and foremost, my interests range widely, as diverse as 
the cells that make up the human body. Just as my passions define who I am, the way I 
see the world and how I hope to better it, each individual within a residential college 
plays a vital role in sustaining the organism that is Baker and Hanszen, Brown and 
McMurtry. From revitalizing old traditions to forging completely new ones, each student 
has a part to play, be it protecting Will Rice’s flag like a white blood cell or organizing 
Baker 90’s party like a neuron. I would be honored to become one of those cells, to 
share my unique interests from emergency medical services (EMS) to baking, to be one 
of many and many in one. 
I’ve spent the last year training to become an EMT, learning how to splint, resuscitate, 
and save lives. My job is to intervene at the most critical points in a person's life, be it 
the suicide attempt of a classmate or the seizures of an elderly man confined to a room 
bereft of light or air-conditioning. Helping and learning from people of all walks of life 
has afforded me a distinctive opportunity; not only have I gained an early exposure to 
medicine, I’ve treated people forgotten by society, realized the significant obstacles 
many have to overcome, seen what is broken and what is left to fix. 
I’d love to continue serving my (new) community at Rice through Rice University 
Emergency Medical Services (REMS), should I be accepted. Not only would I be 
helping the community at large, I’d be close on hand should any of my roommates need 
emergency medical intervention. In addition to helping my immediate community, I 
would work towards improving access to medicine in medically underserved 
communities both in Houston and abroad by joining Humanitarian Medical Outreach 
(HMO), possibly working with my future residential college mates to organize 
fundraising events benefiting the underserved, thereby augmenting Rice’s humanitarian 
impact beyond campus. 
Outside of EMS, I’m an avid outdoorswoman. I’ve hiked for about 12 years now, 
explored the Adirondacks, Denali, and Yosemite. As an active member of my residential 
college, I’d delight in sharing what nature has to offer with my roommates, planning trips 
to local treasures such as Lake Houston Wilderness Park. Not only would such trips 
provide a welcome relief from the intensity of the classroom, they would also foster an 
appreciation for the outdoors and an enthusiasm for conservation. After all, it is much 
more difficult to turn a blind eye to global deforestation and pollution after spending the 
day ensconced in the green-tinged, ever-shifting light of the forest and breathing in fresh 
air. 
I would also love to share my passion for Romanian baking with my roommates by 
cooking in the community kitchens. Making my classmates the desserts of my heritage, 
I’d be sharing just a little bit of me and where I come from in the best way...through 
food!"
34,"It was a crisp fall morning. In the distance, the outlines of trees resembled people. Some 
were tall, slender, brown bodies; some with sparse green-yellow clothes, some naked, 
some with arms spread, some folded, some heads straight, and some hidden. I got out of the 
bed, stepped outside, and to my amazement, discovered these beautiful sticks laying in the 
grass. To most, they are just sticks, but to me, they were pieces of art. 
As I went to pick one of the sticks up, I recognized the brilliance of this simple object that 
had fallen from those beautiful people-like trees. This small yet remarkable brown stick 
that fell from the branches of the tree was part of nature's way to renew life for the coming 
spring. On that brisk fall day, I picked up every stick that fell in the small backyard of my 
house and brought them inside. My mother was annoyed and immediately asked why I was 
bringing garbage into the house. But that didn't stop me. I had an idea, and I knew these 
sticks that she saw as garbage could be turned into something beautiful. 
I took those sticks into my room and placed them on my desk. I then took a small brush to 
gently remove the dirt and some of the bark that had started to decay. They were even 
more beautiful than I had first imagined. The next day, I asked my father to pick up a 3x4 
shadow box frame at the local store and waited in anticipation until he arrived home. When 
I got that frame in my hands, I immediately started working on my computer desk, which I 
turned into a makeshift studio. As I carefully observed, no two sticks were alike, even 
though some fell from the same tree. The vivid image detailing the randomness of nature 
was sitting on my table. As I put sticks together in different patterns, I saw various shapes 
and I quickly recognized that I could use nature to create art. I opened the frame and began 
assembling the sticks in patterns that made sense to me. I closed the back of the frame, 
locked it, and felt my heart pumping to turn it over and see what I created. When I did it 
was beautiful! I had taken something that would typically be discarded and turned it into 
something worthy of being displayed on a wall – I had created art. That first piece of art 
still sits next to my bed, though I have created more shadow-box stick art since then. Some 
have been given as gifts to friends, but more importantly, some have been sold for a loftier 
goal. 
The funds raised from selling these shadow boxes help to support a charity I have 
created. The charity is called Redacted, an umbrella 501(c) organization. Working in 
conjunction with Redacted Charity, a local non-profit, we are providing safe drinking 
water to women and children in developing, and underdeveloped countries. Being a young 
and impressionable woman spending many of my family vacations residing in my 
grandparent’s village, I know first-hand the struggle these women face daily to fetch basic 
clean drinking water for their families. Similar to how I gathered sticks to make art, I plan 
to continue gathering funds and resources to create change in these communities with 
need. Every autumn and beyond."
35,"As the first horse walked in for the HJAM hunter derby in May, I sat on the grassy hill 
overlooking the show grounds with my friends and the “big girls” for the first time. In just 
a few years, I would be one of the “big girls” that the younger kids would look up to. 
Brought together by long horse show days highlighted by donkey races in Kentucky, 
boat days in Traverse City, and “Ride and Drives” in Ohio, the group of riders that 
compete at the horse shows have become my friends for life. 
Starting in the early 2010’s, when all of us rode ponies, everyone began to come out of 
their shell as we bonded over our love for this sport. Jumping the “kid jumps” until it was 
too dark, our group became inseparable, and Sundays, the last day of a horse show, 
became increasingly dreaded as it meant we had to say goodbye until the next show. 
Trading in ponies for horses and bows for hair nets, we became engaged in much more 
mature activities- like water fights and golf cart races. Beginning to conquer bigger 
divisions and national finals, riding became more serious, however, being surrounded 
by this community kept it light hearted as we cheered each other on ringside. 
Entering into my final junior year as a rider, I have trouble believing that I have become 
one of the “big girls” as it seems just yesterday I gazed up at my mentors on the hill 
almost a decade ago. Knowing that the friendships I have made will last a lifetime, I am 
forever grateful to the early mornings and long nights that brought us together and 
cannot wait to watch where each of us end up: both inside and outside of the ring."
36,"When I watched the Patriots and Falcons play in the Super Bowl in February of [Date], I 
had no idea that the next time I watched a football game I would be on the sidelines, 
right in the middle of all the action. However, that’s exactly what happened, and my 
experience as a football manager is not one that I will ever forget. 
At the end of my junior year, the head football coach, Coach Cotter (who was also my 
AP Government teacher), asked me if I wanted to be a manager for the football team. 
He told me I would have to be at all the practices and games during the summer and 
throughout the school year. He made a compelling offer, but I turned him down because 
I didn't think I would have enough time during the summer with my classes, work, and 
vacation. One of my friends, however, took him up on his offer. In the middle of July, 
after hearing her talk about how much she enjoyed it, I asked her if she thought I would 
be able to join. After we spent a little bit talking about it, she asked if I wanted to go with 
her and see what it was like. I agreed, and I loved it. I asked Coach Cotter if he would 
mind if I joined, and I can still hear him saying, ""Absolutely, the more the merrier!"" in my 
head. The weeks of practice that followed, and then eventually the long Friday nights, 
proved to be an unforgettable experience. 
The job of a football manager does not sound glamorous. Being at football practice for 
six hours every day during the summer and then three hours after school, surrounded 
by 47 sweaty football players and seven coaches who are constantly shouting is not 
how I planned to spend my summer and the fall of my senior year. But there was no 
way for me to know that this experience would teach me valuable lessons about life, 
regarding teamwork, hard work, and discipline. 
In late July it was evident that some of the players were new and unsure of what to do. I 
watched as day after day the upperclassmen helped them learn their positions and 
become better players. This demonstration of teamwork impressed me, because 
instead of laughing at the younger players for not knowing what to do, they helped them 
become the best players they could be to make the team stronger. Once, three of our 
seniors got in trouble for some off field activities, and they had to sit out the first game, 
along with losing their helmet stickers that are given out for exceptional performances. I 
witnessed the effect that the consequences had on these players, and I heard one of 
our coaches after we lost the game tell them “Now you see how the consequences of 
your actions affected the entire team. Don't ever underestimate your importance to this 
team.” After that game, I saw the hard work that those boys put in to earn back their 
reputations and their helmet stickers. They taught me that even if I make mistakes, I will 
always learn from them no matter how much hard work it takes. 
We managers go by many names: watergirls, team managers, hydration specialists. But 
none of these monikers can capture the rush of emotion I feel after a hard fought game, 
or the feeling of connectedness that comes every time we celebrate as a team after a 
victory, ringing our bell and blasting “Party in the USA.” My sense of school spirit has 
never been stronger. Throughout the summer, the three hours after school, and the 
seven hours I spend on game days with the players, I have learned lessons and 
developed relationships that I will never forget."
37,"“One of the parents emailed me, saying their daughter came home terrified because of 
your lunch-time horror stories.” 
I was in third grade, and Mrs. Brewer pulled me aside at lunch. She leaned down - 
barely, however, as she was already so short - and gently grabbed my shoulder. Her 
lips were chapped and pink and wisps of her soft gray hair outlined her round face. 
Without a mirror, I already knew my cheeks were red. The idea of getting in 
trouble engulfed my face with heat and tingled the tip of my nose. “It’s okay!” she 
assured me, with an air that suggested she found the whole situation amusing. “I just 
wanted to tell you so you could stop. You aren’t in trouble.” I granted a small nod, my 
mouth drier than the Sahara. She stood and patted my back. “Alright.” 
That was the first time a story I created had ever affected anyone else; part of me 
danced in the sunlight, while a larger part of me ruminated in the dark, worried about the 
trouble I may have caused because someone’s daughter came home terrified thanks to 
some chubby, nerdy girl’s ghost stories. However, for that chubby, nerdy girl, those 
scary campfire stories were her door into the A-list social crowd of the lunchroom; the 
popular girls in my grade invited me to their table every day. Granted, I knew they only 
wanted me for entertainment. But, man, it felt good to be wanted, and it still does. 
When my films affect other people, I feel joy. For example, “Cardboard Castles” is a 
drama I co-directed about a father with a terminal illness grappling with the challenges 
of explaining to his daughter that he is dying. When I watch it with an audience and the 
audience begins to cry, it means I have successfully conveyed a story that connected 
deeply with others. There’s not a feeling in the world like it. 
From creating make-believe scenarios with dollhouses to Scooby-Doo movies made by 
my cousins and me to producing my own films, stories follow me like cats follow laser 
pointers. I feed off of other people’s energy like a new-age carnivore. I am fascinated by 
the human experience and enjoy thinking, talking, learning, and even complaining about 
it. With this in mind, it makes sense that I talked to random strangers as a toddler, loved 
history class, and have participated in student council since I attended a school that 
offered it. 
To build on this, storytelling is one of the most human things we do. As far as we know, 
humans are the only species who do this. From cave walls to the Globe Theatre to 
online fanfiction, humans have been telling stories since we could think. Now, I find 
myself considering a career path, and I have concluded with certainty that I want–
no, need–to collaborate with others to celebrate the human experience. 
So, here I am, pushing forward with my motivation to become a successful director. I 
want to influence filmmaking in a revolutionary way. I want to be an auteur. I want little 
girls to look up to me and see that directing is something they can do. I want to win 
awards. I want to mentor young filmmakers and help them overcome obstacles. I want 
to push limits and break glass ceilings. I want to tell stories the world needs to hear. I 
am so fortunate to have found a profession that combines all of my skills and passions 
into one expansive field. My leadership, resilience, creativity, and drive are like a 
delicious soup served at one specific restaurant: the film industry."
38,"Since seventh grade, I’ve been obsessed with making others smile. That year was tough on 
my 12-year-old, bewildered self. It was the first time I’d struggled through anything major 
in my life. Someone important in my life passed away. Several relationships were beaten up 
and broken down. My once-straight-A grades took a turn for the worse as the magnet 
school experience bore down upon me. And ever since I was forced to be that one kid who 
cried through lunch with her head down on the table, I decided to make sure nobody else 
would have to be that kid. 
I’ve tried everything to hear someone’s laugh, from biting sarcasm to the pain of a bad pun. 
But when I think about when my friends and I are laughing the most, it’s all together, in a 
call at midnight. We’re playing computer games and listening to silly music and laughing at 
the expense of each other as we die at the hands of the enemy team in the most ridiculous 
ways. 
I started playing League of Legends late last year. It was a way for me to feel strong and 
unstoppable when I felt powerless in reality. The gameplay was what initially hooked me, 
but everything else about the game was equally, if not more, fascinating. The design of the 
maps, champions, and skins. The precise animations and detail in every interaction. The 
engrossing theme songs and background music, especially ones like Aurelion Sol’s 
intro (highly recommend, by the way; it’s a beautifully written, insistent orchestral piece). 
The concept of worldbuilding and forever expanding upon the backstories of over a 
hundred characters and their universe. The way gaming brings all sorts of people together 
and lets them really laugh. 
I once read a throwback article, called “Total Recall, or: That Time We Disabled Ranked,” 
that was written by product managers, designers, and producers. It covered an intensive 
bug that forced the company to work nearly 28 hours straight in order to restore the game 
and discussed the processes behind bugfixing. It was this article that truly incensed my 
interest in game design. 
When reading about the majors and programs that Cornell provides, I felt a rare yet very 
real spark of excitement for college and my future. I’d heard of the notoriety of the 
Computer Science major at Cornell, but the option to follow the major within the School of 
Arts and Sciences eased my mind. As a right-brained student, I’ve always felt the struggle to 
succeed academically, especially within maths and sciences, while still pursuing my artistic 
interests. The BA CS major gives the ability to major in what I want to do while also getting 
exposure to a larger breadth of courses in other schools. I believe that Cornell will be able 
to reconcile my passions and style of learning by providing an environment in which I can 
thrive. 
But what caught my eye the most was the specific game design minor that I could pursue 
alongside a major in computer science. It seems pretty unique to the school and is exactly 
what I’ve been wanting from a prospective school. Through this route, I’d be able to further 
my current understanding of programming and learn how to apply this to the world of 
design and animation. I’d be worlds closer to not only bringing my ideas to life, but also 
bringing the same happiness, excitement, and immersion that I feel to other gamers like 
me. 
Gaming is what brings a smile to my face, as it does to millions of other people around the 
globe. I want my efforts to inspire happiness and infectious laughter to reach the world by 
doing what I love. And now, it truly feels as though Cornell has given me a real chance at 
being able to make someone smile by doing what they love."
